r,gtt,grr,phi,gtt_schw,grr_schw
1.042329965814601467e+00,4.074468570612697904e-02,2.450242538742784859e+01,7.073978965557680132e-01,4.061090748889650826e-02,2.462392647279333957e+01
1.042810110537730539e+00,4.119086261271051597e-02,2.423743090811962020e+01,7.073899166983396158e-01,4.105264237959416196e-02,2.435896795030824080e+01
1.043290476437418679e+00,4.163688346862629702e-02,2.397819592645522846e+01,7.073819331650250675e-01,4.149417388074416735e-02,2.409976887054163441e+01
1.043771063615549721e+00,4.208274752388092843e-02,2.372453470018087529e+01,7.073739459541308339e-01,4.193550208599372553e-02,2.384614348838321618e+01
1.044251872174054574e+00,4.252845403955705234e-02,2.347626938914896044e+01,7.073659550639629368e-01,4.237662708894696095e-02,2.359791396094449212e+01
1.044732902214911441e+00,4.297400228835206865e-02,2.323322963951489584e+01,7.073579604928266207e-01,4.281754898316536551e-02,2.335490993174717644e+01
1.045214153840144933e+00,4.341939155508652698e-02,2.299525219391646758e+01,7.073499622390262420e-01,4.325826786216668829e-02,2.311696814089478380e+01
1.045695627151826956e+00,4.386462113718717776e-02,2.276218052575917739e+01,7.073419603008652690e-01,4.369878381942615686e-02,2.288393205935065566e+01
1.046177322252076269e+00,4.430969034514018606e-02,2.253386449588834495e+01,7.073339546766467256e-01,4.413909694837547804e-02,2.265565154560337291e+01
1.046659239243059147e+00,4.475459850292050346e-02,2.231016003006330806e+01,7.073259453646724149e-01,4.457920734240394811e-02,2.243198252313462149e+01
1.047141378226988495e+00,4.519934494839304012e-02,2.209092881577997147e+01,7.073179323632436954e-01,4.501911509485745366e-02,2.221278667723591838e+01
1.047623739306124069e+00,4.564392903369030030e-02,2.187603801709930096e+01,7.073099156706611490e-01,4.545882029903869359e-02,2.199793116983167351e+01
1.048106322582773586e+00,4.608835012556636301e-02,2.166536000624668290e+01,7.073018952852242469e-01,4.589832304820817832e-02,2.178728837107348326e+01
1.048589128159290729e+00,4.653260760572418969e-02,2.145877211084428637e+01,7.072926009982889450e-01,4.633762343558223140e-02,2.158073560656779932e+01
1.049072156138077361e+00,4.697670087112494619e-02,2.125615637572096261e+01,7.072828607546622903e-01,4.677672155433565404e-02,2.137815491918141220e+01
1.049555406621582199e+00,4.742062933426977739e-02,2.105739933833226729e+01,7.072731160242352599e-01,4.721561749759961568e-02,2.117943284445742336e+01
1.050038879712300588e+00,4.786439242346281903e-02,2.086239181688883448e+01,7.072633668049409517e-01,4.765431135846198707e-02,2.098446019873981072e+01
1.050522575512776058e+00,4.830798958305414226e-02,2.067102871036239975e+01,7.072536130947114641e-01,4.809280322996889456e-02,2.079313187917590255e+01
1.051006494125598767e+00,4.875142027365884229e-02,2.048320880960179480e+01,7.072438548914782297e-01,4.853109320512283276e-02,2.060534667482912141e+01
1.051490635653405947e+00,4.919468397235913365e-02,2.029883461884307394e+01,7.072340921931715707e-01,4.896918137688333061e-02,2.042100708818599131e+01
1.051975000198882793e+00,4.963778017288707906e-02,2.011781218695329443e+01,7.072243249977208102e-01,4.940706783816783965e-02,2.024001916639712562e+01
1.052459587864761126e+00,5.008070838578662642e-02,1.994005094779549836e+01,7.072145533030542719e-01,4.984475268185029062e-02,2.006229234163949826e+01
1.052944398753820510e+00,5.052346813856026242e-02,1.976546356914265701e+01,7.072047771070993916e-01,5.028223600076242583e-02,1.988773928002798286e+01
1.053429432968887802e+00,5.096605897579607747e-02,1.959396580961318435e+01,7.071949964077829387e-01,5.071951788769302194e-02,1.971627573854852855e+01
1.053914690612837157e+00,5.140848045927873256e-02,1.942547638313429559e+01,7.071852112030301285e-01,5.115659843538811202e-02,1.954782042951940113e+01
1.054400171788589802e+00,5.185073216808362695e-02,1.925991683047566028e+01,7.071754214907658431e-01,5.159347773655065250e-02,1.938229489212285728e+01
1.054885876599114924e+00,5.229281369865649426e-02,1.909721139742604379e+01,7.071656272689135214e-01,5.203015588384163337e-02,1.921962337057993864e+01
1.055371805147429010e+00,5.273472466487560267e-02,1.893728691921688423e+01,7.071558285353958251e-01,5.246663296987919001e-02,1.905973269857233987e+01
1.055857957536595615e+00,5.317646469809949455e-02,1.878007271082123353e+01,7.071460252881346387e-01,5.290290908723827012e-02,1.890255218953978655e+01
1.056344333869726260e+00,5.361803344720217357e-02,1.862550046278234817e+01,7.071362175250506255e-01,5.333898432845185500e-02,1.874801353250710889e+01
1.056830934249979537e+00,5.405943057859165929e-02,1.847350414225061144e+01,7.071264052440635606e-01,5.377485878600984925e-02,1.859605069311983883e+01
1.057317758780562000e+00,5.450065577621735630e-02,1.832401989892613514e+01,7.071165884430923310e-01,5.421053255235996904e-02,1.844659981958555051e+01
1.057804807564727279e+00,5.494170874156264345e-02,1.817698597562682750e+01,7.071067671200548244e-01,5.464600571990707589e-02,1.829959915324073805e+01
1.058292080705777183e+00,5.538258919362629845e-02,1.803234262321777948e+01,7.070969412728680403e-01,5.508127838101373186e-02,1.815498894347912540e+01
1.058779578307060376e+00,5.582329686889052345e-02,1.789003201965654810e+01,7.070871108994478682e-01,5.551635062799964437e-02,1.801271136679597262e+01
1.059267300471973483e+00,5.626383152127849285e-02,1.774999819292329306e+01,7.070772759977093092e-01,5.595122255314211035e-02,1.787271044971727818e+01
1.059755247303960868e+00,5.670419292210006346e-02,1.761218694762026971e+01,7.070674365655663651e-01,5.638589424867623823e-02,1.773493199539841925e+01
1.060243418906514412e+00,5.714438085998617411e-02,1.747654579503874928e+01,7.070575926009322609e-01,5.682036580679428184e-02,1.759932351369031878e+01
1.060731815383173737e+00,5.758439514081371835e-02,1.734302388650301552e+01,7.070464205525103241e-01,5.725463731964641756e-02,1.746583415448269605e+01
