theta_deg,log10_dsigma_dOmega
126.47605432,0.22002225
126.59042173,0.20756396
126.70478914,0.19777531
126.81915654,0.19065628
126.93352395,0.18620690
127.04789135,0.18442714
127.16225876,0.18442714
127.27662616,0.18709677
127.39099357,0.19154616
127.50536097,0.19955506
127.61972838,0.21023359
127.73409578,0.22358176
127.84846319,0.23959956
127.96283059,0.25739711
128.07719800,0.27608454
128.19156540,0.29655172
128.30593281,0.31790879
128.42030021,0.33926585
128.53466762,0.36151279
128.64903503,0.38375973
128.76340243,0.40689655
128.87776984,0.43003337
128.99213724,0.45317019
129.10650465,0.47630701
129.22087205,0.49855395
129.33523946,0.51902113
129.44960686,0.53948832
129.56397427,0.55906563
129.67834167,0.58487208
129.79270908,0.60711902
129.90707648,0.62580645
130.02144389,0.64271413
130.13581129,0.65873192
130.25017870,0.66763070
130.36454610,0.67919911
130.47891351,0.69343715
130.59328091,0.70678532
130.70764832,0.72013348
130.82201573,0.73170189
130.93638313,0.74238042
131.05075054,0.75216908
131.16511794,0.76195773
131.27948535,0.77085651
131.39385275,0.77886541
131.50822016,0.78598443
131.62258756,0.79310345
131.73695497,0.79844271
131.85132237,0.80289210
131.96568978,0.80734149
132.08005718,0.81090100
132.19442459,0.81268076
132.30879199,0.81446051
132.42315940,0.81535039
132.53752680,0.81535039
132.65189421,0.81535039
132.76626162,0.81535039
132.88062902,0.81535039
132.99499643,0.81535039
133.10936383,0.81446051
133.22373124,0.81179088
133.33809864,0.80823137
133.45246605,0.80289210
133.56683345,0.79577308
133.68120086,0.78776418
133.79556826,0.77975528
133.90993567,0.77085651
134.02430307,0.76195773
134.13867048,0.75216908
134.25303788,0.74149055
134.36740529,0.72992214
134.48177269,0.71746385
134.59614010,0.70411568
134.71050751,0.69076752
134.82487491,0.67652948
134.93924232,0.66140156
135.05360972,0.64538376
135.16797713,0.62847608
135.28234453,0.60978865
135.39671194,0.59021135
135.51107934,0.56885428
135.62544675,0.54660734
135.73981415,0.52258065
135.85418156,0.49143493
135.96854896,0.46473860
136.08291637,0.43804227
136.19728377,0.41045606
136.31165118,0.38286986
136.42601858,0.36062291
136.54038599,0.33303671
136.65475340,0.30456062
136.76912080,0.27519466
136.88348821,0.24582870
136.99785561,0.21290323
137.11222302,0.18353726
137.22659042,0.15595106
137.34095783,0.12925473
137.45532523,0.10433815
137.56969264,0.08565072
137.68406004,0.06696329
137.79842745,0.05183537
137.91279485,0.04204672
138.02716226,0.03581758
138.14152966,0.03314794
138.25589707,0.03581758
138.37026447,0.04293660
138.48463188,0.05361513
138.59899929,0.06874305
138.71336669,0.08921023
138.82773410,0.11145717
138.94210150,0.13548387
139.05646891,0.16218020
139.17083631,0.19065628
139.28520372,0.22002225
139.39957112,0.25027809
139.51393853,0.28142380
139.62830593,0.31256952
139.74267334,0.34282536
139.85704074,0.37219132
139.97140815,0.40066741
140.08577555,0.42825362
140.20014296,0.45494994
140.31451036,0.48164627
140.42887777,0.50834260
140.54324518,0.53414905
140.65761258,0.55995551
140.77197999,0.58398220
140.88634739,0.60711902
141.00071480,0.62936596
141.11508220,0.65072303
141.22944961,0.67030033
141.34381701,0.68898776
141.45818442,0.70678532
141.57255182,0.72280311
141.68691923,0.73793103
141.80128663,0.75216908
141.91565404,0.77085651
142.03002144,0.78687430
142.14438885,0.80022247
142.25875625,0.81090100
142.37312366,0.82068966
142.48749107,0.82424917
142.60185847,0.82869855
142.71622588,0.83403782
142.83059328,0.84115684
142.94496069,0.84738598
143.05932809,0.85272525
143.17369550,0.85717464
143.28806290,0.86073415
143.40243031,0.86340378
143.51679771,0.86518354
143.63116512,0.86696329
143.74553252,0.86785317
143.85989993,0.86874305
143.97426733,0.86874305
144.08863474,0.86785317
144.20300214,0.86607341
144.31736955,0.86340378
144.43173695,0.85984427
144.54610436,0.85450501
144.66047177,0.84916574
144.77483917,0.84293660
144.88920658,0.83581758
145.00357398,0.82691880
145.11794139,0.81802002
145.23230879,0.80734149
145.34667620,0.79577308
145.46104360,0.78331479
145.57541101,0.76996663
145.68977841,0.75572859
145.80414582,0.74060067
145.91851322,0.72458287
146.03288063,0.70678532
146.14724803,0.68809789
