r,gtt,grr,phi,gtt_schw,grr_schw
1.028501524360952546e+00,2.986753788450213082e-02,3.574118328335094930e+01,4.744175586242418419e-01,2.771169870522227630e-02,3.608584268461138578e+01
1.028975299073230154e+00,3.034960870345723011e-02,3.505069585033358237e+01,4.744001594450055204e-01,2.815937282394187502e-02,3.551215455870424620e+01
1.029449292027749152e+00,3.082993565526109120e-02,3.438873548326826324e+01,4.743827522509137529e-01,2.860684081849396154e-02,3.495667369720575834e+01
1.029923503325042011e+00,3.130846003894316443e-02,3.375640172699809227e+01,4.743653370382743817e-01,2.905410278378528499e-02,3.441854692405394189e+01
1.030397933065687166e+00,3.178515833549585418e-02,3.315436120822696608e+01,4.743479138033937503e-01,2.950115881467840762e-02,3.389697354879654512e+01
1.030872581350309680e+00,3.226004108337939685e-02,3.258286071645814985e+01,4.743304825425764815e-01,2.994800900599237092e-02,3.339120139171547663e+01
1.031347448279581025e+00,3.273315112790443210e-02,3.204174944955699544e+01,4.743130432521254214e-01,3.039465345250291772e-02,3.290052316479537353e+01
1.031822533954218635e+00,3.320456132129363108e-02,3.153050861827552964e+01,4.742955959283418066e-01,3.084109224894149293e-02,3.242427317191793890e+01
1.032297838474986795e+00,3.367437175406098188e-02,3.104828671588847300e+01,4.742781405675250417e-01,3.128732548999657581e-02,3.196182429590307095e+01
1.032773361942695978e+00,3.414270660054342932e-02,3.059393888800244454e+01,4.742606771659729770e-01,3.173335327031256980e-02,3.151258524372612158e+01
1.033249104458203060e+00,3.460971066210803693e-02,3.016606897820128097e+01,4.742432057199816309e-01,3.217917568449057963e-02,3.107599802446060622e+01
1.033725066122411551e+00,3.507554569081878376e-02,2.976307297285664788e+01,4.742257262258453565e-01,3.262479282708807826e-02,3.065153563733004916e+01
1.034201247036271143e+00,3.554038657433514214e-02,2.938318271912783430e+01,4.742082386798568971e-01,3.307020479261868484e-02,3.023869994972638864e+01
1.034677647300778380e+00,3.600441745964146067e-02,2.902450894054204156e+01,4.741907430783071087e-01,3.351541167555316392e-02,2.983701974722932349e+01
1.035154267016976437e+00,3.646782788901350991e-02,2.868508272177701457e+01,4.741732394174852927e-01,3.396041357031853725e-02,2.944604893958069525e+01
1.035631106285954228e+00,3.693080901656629889e-02,2.836289477607020260e+01,4.741557276936789189e-01,3.440521057129763971e-02,2.906536490825155994e+01
1.036108165208848186e+00,3.739354996792716712e-02,2.805593194326204198e+01,4.741382079031738472e-01,3.484980277283100669e-02,2.869456698273203799e+01
1.036585443886840707e+00,3.785623439917282229e-02,2.776221049245823735e+01,4.741310684089692362e-01,3.529419026921487568e-02,2.833327503400023772e+01
1.037062942421161038e+00,3.831903730433641742e-02,2.747980591964657648e+01,4.741270401126921885e-01,3.573837315470229647e-02,2.798112817478443048e+01
1.037540660913085055e+00,3.878212211361210110e-02,2.720687903668075691e+01,4.741230099607981474e-01,3.618235152350313122e-02,2.763778355728000591e+01
1.038018599463935265e+00,3.924563811703733751e-02,2.694169824343189745e+01,4.741189779524322967e-01,3.662612546978372130e-02,2.730291525990081780e+01
1.038496758175081025e+00,3.970971824101714870e-02,2.668265795948002150e+01,4.741149440867394871e-01,3.706969508766710941e-02,2.697621325546577609e+01
1.038975137147938099e+00,4.017447719768959397e-02,2.642829326553611580e+01,4.741109083628641807e-01,3.751306047123292853e-02,2.665738245395506567e+01
1.039453736483968882e+00,4.064001001992916667e-02,2.617729086808619954e+01,4.741068707799503956e-01,3.795622171451717985e-02,2.634614181362335827e+01
1.039932556284682841e+00,4.110639098783935158e-02,2.592849655391565378e+01,4.741028313371417613e-01,3.839917891151323204e-02,2.604222351484109055e+01
1.040411596651636073e+00,4.157367294597669183e-02,2.568091934470042759e+01,4.740987900335815186e-01,3.884193215617071093e-02,2.574537219156160717e+01
1.040890857686431525e+00,4.204188700437268278e-02,2.543373259631321659e+01,4.740947468684125754e-01,3.928448154239616574e-02,2.545534421577617223e+01
1.041370339490718777e+00,4.251104261071025209e-02,2.518627231354535567e+01,4.740907018407772844e-01,3.972682716405284697e-02,2.517190703074466640e+01
1.041850042166194257e+00,4.298112797585089406e-02,2.493803296926571278e+01,4.740866549498177762e-01,4.016896911496059541e-02,2.489483852916599815e+01
1.042329965814601467e+00,4.345211083031984278e-02,2.468866112834707138e+01,4.740826061946757375e-01,4.061090748889650826e-02,2.462392647279333957e+01
1.042810110537730539e+00,4.392393948537411802e-02,2.443794718171656299e+01,4.740785555744924107e-01,4.105264237959416196e-02,2.435896795030824080e+01
1.043290476437418679e+00,4.439654416893054623e-02,2.418581549534578201e+01,4.740745030884087052e-01,4.149417388074416735e-02,2.409976887054163441e+01
1.043771063615549721e+00,4.486983860391120793e-02,2.393231327361215577e+01,4.740704487355650310e-01,4.193550208599372553e-02,2.384614348838321618e+01
1.044251872174054574e+00,4.534372179448793727e-02,2.367759842691418015e+01,4.740663925151015201e-01,4.237662708894696095e-02,2.359791396094449212e+01
1.044732902214911441e+00,4.581807998425393991e-02,2.342192672038042289e+01,4.740623344261578609e-01,4.281754898316536551e-02,2.335490993174717644e+01
1.045214153840144933e+00,4.629278874950727707e-02,2.316563846459717624e+01,4.740582744678733529e-01,4.325826786216668829e-02,2.311696814089478380e+01
1.045695627151826956e+00,4.676771519057828369e-02,2.290914499107773494e+01,4.740542126393869071e-01,4.369878381942615686e-02,2.288393205935065566e+01
1.046177322252076269e+00,4.724272018441894733e-02,2.265291513526402056e+01,4.740501489398369905e-01,4.413909694837547804e-02,2.265565154560337291e+01
1.046659239243059147e+00,4.771766066249202853e-02,2.239746192867266217e+01,4.740460833683616815e-01,4.457920734240394811e-02,2.243198252313462149e+01
1.047141378226988495e+00,4.819239187927105289e-02,2.214332967984745082e+01,4.740420159240987252e-01,4.501911509485745366e-02,2.221278667723591838e+01
1.047623739306124069e+00,4.866676963838147824e-02,2.189108160144978399e+01,4.740379466061854785e-01,4.545882029903869359e-02,2.199793116983167351e+01
1.048106322582773586e+00,4.914065244549744443e-02,2.164128811848818046e+01,4.740338754137587429e-01,4.589832304820817832e-02,2.178728837107348326e+01
1.048589128159290729e+00,4.961390355952176312e-02,2.139451597067040467e+01,4.739855807780556374e-01,4.633762343558223140e-02,2.158073560656779932e+01
1.049072156138077361e+00,5.008639291627936529e-02,2.115131820042571320e+01,4.739218872082414102e-01,4.677672155433565404e-02,2.137815491918141220e+01
1.049555406621582199e+00,5.055799890185047607e-02,2.091222509755109371e+01,4.738581642982637732e-01,4.721561749759961568e-02,2.117943284445742336e+01
1.050038879712300588e+00,5.102860995577122860e-02,2.067773615184429659e+01,4.737944120346074817e-01,4.765431135846198707e-02,2.098446019873981072e+01
1.050522575512776058e+00,5.149812598752179921e-02,2.044831304669097349e+01,4.737306304037507410e-01,4.809280322996889456e-02,2.079313187917590255e+01
1.051006494125598767e+00,5.196645959299073941e-02,2.022437370948178170e+01,4.736668193921657610e-01,4.853109320512283276e-02,2.060534667482912141e+01
1.051490635653405947e+00,5.243353706090592842e-02,2.000628741903532060e+01,4.736029789863184236e-01,4.896918137688333061e-02,2.042100708818599131e+01
1.051975000198882793e+00,5.289929916248389125e-02,1.979437095597849350e+01,4.735391091726683377e-01,4.940706783816783965e-02,2.024001916639712562e+01
1.052459587864761126e+00,5.336370172074808571e-02,1.958888576930725023e+01,4.734752099376690060e-01,4.984475268185029062e-02,2.006229234163949826e+01
1.052944398753820510e+00,5.382671595907499024e-02,1.939003612113633679e+01,4.734112812677675475e-01,5.028223600076242583e-02,1.988773928002798286e+01
1.053429432968887802e+00,5.428832863147224630e-02,1.919796816194919131e+01,4.733473231494049749e-01,5.071951788769302194e-02,1.971627573854852855e+01
1.053914690612837157e+00,5.474854193988911572e-02,1.901276988043758109e+01,4.732833355690159172e-01,5.115659843538811202e-02,1.954782042951940113e+01
1.054400171788589802e+00,5.520737324644427874e-02,1.883447186524785977e+01,4.732193185130288415e-01,5.159347773655065250e-02,1.938229489212285728e+01
1.054885876599114924e+00,5.566485459082858023e-02,1.866304881056266396e+01,4.731552719678659424e-01,5.203015588384163337e-02,1.921962337057993864e+01
